Operator,Scheme Name,Area,Approval Number,Recovery Method,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Prosper Petroleum Ltd.,,Peace River,10070G,Primary,314.33,320.06,290.21,259.07,290.71,274.26,270.47,251.36,234.31,211.85,166.2,257.03,2010
CNRL,,Cold Lake,10154C,Primary,237.09,232.06,262.19,272.26,291.09,267.9,254.02,278.05,301.15,307.51,266.04,251.01,2010
Penn West,,Peace River,10174B,Primary,77.21,72.53,66.68,66.21,71.65,60.44,62.16,64.31,66.61,58.84,58.43,61.7,2010
Husky,,Cold Lake,10259,Primary,39.57,42.45,39.91,34.98,37.61,30.1,25.68,36.67,29.35,30.28,27.53,26.94,2010
Murphy,,Peace River,10290,Primary,6.26,6.28,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2010
Murphy,,Peace River,10329F,Primary,794.07,780.85,760.56,768.85,713.44,666.62,704.39,704.23,753.77,767.66,815.1,843.59,2010
Baytex,,Peace River,10391C,Primary,758.82,768.04,1042.41,839.28,1098.15,1394.58,1357.82,1394.33,1438.29,1331.5,1435.28,1429.45,2010
Husky,,Peace River,10412B,Primary,562.98,589.89,319.26,538.01,647.4,537.44,540.7,534.22,454.4,503.13,481.74,381.75,2010
CNRL,,Cold Lake,10454A,Primary,18.76,15.2,13.24,10.87,10.36,10.09,12.78,11.02,13.68,12.44,11.42,10.55,2010
CNRL,,Cold Lake,10459,Primary,92.51,76.83,73.14,61.8,68.39,59.08,68.71,78.3,78.3,81.65,79.57,68.88,2010
CNRL,,Cold Lake,10471,Primary,4.12,4.34,1.9,2.02,2.69,2.49,3.37,1.99,1.83,1.24,2.07,0.0,2010
CNRL,,Cold Lake,10518A,Primary,72.63,103.47,87.92,77.43,73.75,66.33,62.86,48.79,40.8,134.14,148.9,133.37,2010
Shell,,Peace River,10532D,Primary,188.35,194.08,170.34,161.19,143.82,183.89,199.87,142.95,138.42,130.69,127.94,107.43,2010
CNRL,,Cold Lake,10547,Primary,23.01,19.0,16.03,14.16,17.36,15.94,14.91,16.63,9.51,11.41,16.45,12.09,2010
Shell,,Peace River,10557C,Primary,1416.44,1427.77,1367.32,1288.45,1311.14,1179.48,1152.15,1103.19,1072.1,1028.66,967.16,866.01,2010
Husky,,Cold Lake,10597,Primary,74.55,64.84,63.9,74.12,82.62,90.09,82.1,85.93,65.66,72.72,66.81,68.39,2010
CNRL,,Cold Lake,10618D,Primary,179.42,177.38,185.05,205.14,262.05,338.18,359.41,417.89,440.14,424.26,424.53,477.7,2010
Husky,,Cold Lake,10619C,Primary,147.42,155.75,159.13,149.25,169.47,173.36,188.86,188.76,189.49,182.7,161.43,160.14,2010
Action Energy Inc.,,Cold Lake,10631A,Primary,2.75,3.13,3.1,2.4,2.57,2.12,2.91,2.61,1.94,2.24,1.83,0.73,2010
Penn West,,Peace River,10647D,Primary,9.64,10.67,10.57,8.28,7.35,7.48,7.24,8.03,7.82,7.57,8.96,8.15,2010
CNRL,,Cold Lake,10725,Primary,7.85,10.28,7.87,9.66,7.58,10.91,11.95,13.96,14.82,9.26,14.2,10.79,2010
Penn West,,Peace River,10745B,Primary,1.65,18.51,1.84,0.0,0.0,0.0,0.0,0.0,0.0,,,,2010
Shell,,Peace River,10746C,Primary,1.58,1.76,1.75,1.58,1.63,1.67,1.56,1.64,1.7,1.65,1.72,1.63,2010
Husky,,Cold Lake,10812A,Primary,83.78,86.04,94.42,91.55,90.96,86.54,86.61,82.75,78.86,78.21,83.24,81.97,2010
Devon,,Cold Lake,10828,Primary,247.27,263.04,247.6,233.93,249.2,250.54,214.48,222.42,225.12,240.12,203.78,226.39,2010
Bonavista,,Cold Lake,10853,Primary,7.92,6.91,9.2,11.51,15.49,7.27,12.47,10.1,8.71,10.75,15.67,11.38,2010
Husky,,Cold Lake,10863,Primary,0.0,0.0,0.0,0.0,0.0,,,,,,,,2010
CNRL,,Cold Lake,10882,Primary,52.31,35.2,72.83,81.47,120.29,114.24,137.32,102.93,112.85,97.55,56.68,65.29,2010
Murphy,,Peace River,10915A,Primary,29.07,25.3,23.03,23.17,21.72,27.07,22.94,24.69,17.67,19.19,18.31,18.61,2010
CNRL,,Cold Lake,11016A,Primary,387.12,431.28,510.97,534.85,614.03,602.48,561.27,569.6,560.56,503.66,497.06,472.99,2010
Watch Resources Ltd.,,Cold Lake,11018,Primary,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,3.38,5.26,2.92,2010
Husky,,Cold Lake,11041,Primary,91.12,92.4,76.75,71.68,71.05,68.07,61.82,53.75,57.65,63.42,63.11,67.82,2010
Penn West,,Peace River,11060C,Primary,45.21,43.26,53.69,50.57,42.44,46.28,33.98,88.06,91.83,85.2,125.76,190.02,2010
CNRL,,Cold Lake,11188A,Primary,21.62,20.35,26.94,21.26,22.23,31.36,24.38,16.68,20.92,26.68,22.29,21.83,2010
Manitok Exploration Inc.,,Cold Lake,11191,Primary,9.01,13.28,12.99,10.77,12.44,10.92,11.79,10.71,9.7,5.97,11.71,11.92,2010
Husky,,Cold Lake,11192,Primary,17.6,22.0,15.92,23.06,23.22,26.43,24.87,25.31,25.57,25.25,23.35,20.51,2010
Husky,,Cold Lake,11205,Primary,5.05,17.11,4.03,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,,2010
Koch,,Peace River,11220,Primary,3.47,5.6,11.13,2.39,6.26,3.96,5.47,19.32,29.53,28.18,20.82,24.2,2010
CNRL,,Cold Lake,11227B,Primary,17.52,14.07,16.68,12.93,11.19,11.57,10.39,8.96,9.66,7.16,7.59,6.47,2010
Husky,,Cold Lake,11246,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63,5.55,5.1,6.11,2010
Twin Butte Energy Ltd.,,Cold Lake,11256A,Primary,350.08,350.31,364.78,414.61,463.89,493.21,472.13,472.19,514.21,545.26,692.22,756.9,2010
Baytex,,Peace River,11257B,Primary,321.29,306.98,231.64,200.09,200.92,206.08,213.66,200.18,189.47,174.57,173.42,149.44,2010
Husky,,Cold Lake,11275,Primary,18.41,18.24,17.63,13.11,17.3,21.23,9.15,6.53,9.16,10.66,3.71,8.36,2010
Husky,,Cold Lake,11287,Primary,14.6,18.76,20.1,1.86,6.72,10.23,11.64,16.03,3.98,9.27,10.04,8.01,2010
Murphy,,Peace River,11306,Primary,7.2,9.44,6.17,10.27,8.4,10.02,19.36,17.07,14.41,14.14,12.94,11.87,2010
Baytex,,Peace River,11327,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
CNRL,,Cold Lake,11349,Primary,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.5,,,,,2010
Husky,,Cold Lake,11350,Primary,1.17,3.71,4.25,0.72,1.83,2.82,7.11,13.91,11.63,10.17,8.47,2.12,2010
Husky,,Cold Lake,11352,Primary,97.8,80.03,80.57,81.64,84.01,98.79,39.71,65.38,134.02,149.92,165.62,138.87,2010
Husky,,Cold Lake,11362,Primary,6.97,9.41,17.59,7.95,8.86,16.57,10.11,7.72,16.95,17.44,17.47,9.87,2010
Bonavista,,Cold Lake,11364,Primary,19.78,24.03,16.08,9.59,6.57,7.27,9.03,6.78,3.94,1.12,6.06,5.14,2010
Sunshine Oilsands Ltd.,,Athabasca,11382A,Primary,0.0,0.0,0.0,1.52,1.98,2.1,4.15,0.0,0.0,1.39,5.54,17.06,2010
CNRL,,Cold Lake,11383,Primary,6.15,5.98,6.31,5.38,8.1,7.29,6.96,8.19,7.15,7.05,5.53,6.58,2010
Husky,,Cold Lake,11416,Primary,0.0,0.0,0.0,0.0,0.36,0.64,0.0,1.18,0.0,0.0,0.0,,2010
CNRL,,Cold Lake,11428A,Primary,0.0,0.0,0.0,0.0,67.24,67.38,255.62,241.13,260.2,219.37,261.85,358.94,2010
Solara Exploration Ltd.,,Cold Lake,11429A,Primary,0.0,0.0,0.0,0.0,10.84,9.8,11.26,11.52,11.45,8.62,5.93,8.85,2010
Baytex,,Peace River,11437,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,5.59,6.36,5.05,2010
Husky,,Cold Lake,11450,Primary,0.0,0.0,0.0,0.0,0.0,0.0,11.03,10.48,8.32,4.4,2.69,12.98,2010
CNRL,,Cold Lake,11477,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.21,44.26,37.43,2010
CNRL,,Athabasca,11480,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19,2010
CNRL,,Cold Lake,11481,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.41,3.23,2010
Husky,,Athabasca,11501,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,10.33,17.03,15.25,11.1,2010
CNRL,,Cold Lake,11503,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.15,44.84,33.69,36.74,2010
Bellatrix Exploration Ltd.,,Cold Lake,11545,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.81,2010
Shell,,Peace River,11556,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Cenovus,,Cold Lake,11567,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
CNRL,,Cold Lake,11574,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
CNRL,,Cold Lake,5692D,Primary,1.55,0.89,0.77,0.63,0.83,,,,,,,,2010
CNRL,,Cold Lake,6280F,Primary,466.71,489.64,506.83,454.67,461.26,421.66,404.81,394.01,377.23,375.14,309.04,299.57,2010
CNRL,,Athabasca,6619Y,Primary,434.46,437.83,443.81,435.49,445.28,437.43,467.65,356.39,413.96,433.68,449.37,454.39,2010
CNRL,,Cold Lake,6764D,Primary,3.85,3.61,3.21,5.73,7.21,13.19,8.28,2.89,8.04,4.19,2.37,0.18,2010
CNRL,,Cold Lake,7118G,Primary,171.48,194.11,173.2,180.93,168.64,172.48,164.84,166.95,164.45,180.4,168.0,140.31,2010
Bonavista,,Cold Lake,7164J,Primary,94.6,87.41,86.0,72.61,76.52,64.7,60.37,51.81,65.14,61.15,60.66,56.4,2010
CNRL,,Cold Lake,7389D,Primary,82.27,75.91,74.09,69.6,67.67,80.48,68.78,90.75,77.17,89.77,86.91,91.63,2010
Bonavista,,Cold Lake,7515C,Primary,109.88,101.4,113.76,110.18,109.34,97.41,98.15,96.28,93.92,92.7,143.46,106.55,2010
BlackPearl,,Cold Lake,7920F,Primary,1.34,3.32,1.43,0.69,1.86,2.07,1.44,1.94,3.37,1.47,1.12,1.84,2010
Devon,,Cold Lake,7936J,Primary,5097.6,5088.84,5191.17,4871.0,5219.99,5128.1,5103.41,5101.37,5206.16,5203.54,5052.2,4918.66,2010
Husky,,Cold Lake,7990H,Primary,164.74,153.72,153.34,148.19,146.81,149.96,146.25,154.57,152.89,169.45,203.53,185.76,2010
CNRL,,Cold Lake,8002E,Primary,9.14,10.76,11.05,9.55,12.43,10.4,12.9,10.33,13.2,13.09,11.79,12.27,2010
CNRL,,Cold Lake,8017D,Primary,35.58,26.84,29.67,23.32,20.07,20.71,15.87,20.05,16.92,15.93,16.32,11.25,2010
CNRL,,Cold Lake,8018C,Primary,172.63,245.25,245.23,245.59,249.97,237.25,265.58,237.57,229.5,251.8,252.9,233.59,2010
CNRL,,Cold Lake,8035A,Primary,14.75,12.46,15.43,11.98,13.19,10.56,15.87,13.91,13.16,12.18,10.09,11.75,2010
CNRL,,Cold Lake,8042H,Primary,749.7,803.19,807.55,783.44,924.9,906.46,920.11,1018.64,999.6,1264.51,1346.07,1435.8,2010
CNRL,,Cold Lake,8043B,Primary,149.75,160.53,155.71,134.17,143.47,134.74,122.5,134.05,135.27,151.39,155.38,150.11,2010
CNRL,,Cold Lake,8069F,Primary,261.41,278.13,324.51,292.06,312.6,301.88,272.06,293.25,287.69,240.93,234.45,261.9,2010
CNRL,,Cold Lake,8087A,Primary,0.0,0.0,6.73,4.06,2.0,2.77,0.0,0.0,0.0,,,,2010
CNRL,,Cold Lake,8161E,Primary,84.65,80.48,77.31,69.7,81.18,80.41,80.22,88.98,86.44,70.35,78.71,68.99,2010
CNRL,,Cold Lake,8162F,Primary,461.92,498.69,450.64,386.9,415.49,437.18,418.17,407.66,400.44,396.35,408.43,427.22,2010
CNRL,,Cold Lake,8179C,Primary,28.86,32.07,27.84,22.82,22.44,23.04,25.2,19.84,22.6,21.77,19.6,16.51,2010
CNRL,,Cold Lake,8180B,Primary,11.16,8.63,5.54,3.64,5.51,4.81,2.51,5.88,3.63,4.39,7.73,9.26,2010
Devon,,Cold Lake,8202A,Primary,120.09,128.81,135.04,135.64,123.53,134.16,146.42,141.51,130.15,133.26,123.28,138.66,2010
CNRL,,Cold Lake,8215C,Primary,39.14,44.37,42.31,32.81,40.73,39.78,36.51,54.66,54.07,58.83,62.8,66.08,2010
Devon,,Athabasca,8304A,Primary,0.0,0.0,0.0,,,,,,,,,,2010
CNRL,,Cold Lake,8319,Primary,85.66,96.22,92.93,92.68,91.56,86.88,83.93,76.13,67.52,69.64,70.87,68.59,2010
Baytex,,Cold Lake,8341B,Primary,69.34,64.96,61.84,51.77,55.82,53.56,48.07,47.86,44.54,41.09,42.77,41.12,2010
CNRL,,Cold Lake,8434A,Primary,0.71,0.64,0.0,0.76,0.74,0.0,0.61,0.65,0.62,0.69,0.6,,2010
CNRL,,Cold Lake,8536A,Primary,19.53,20.73,20.75,25.54,26.48,25.46,27.24,23.8,24.84,23.74,25.69,19.49,2010
Crispin Energy Inc.,,Cold Lake,8567A,Primary,1.21,0.5,0.42,0.0,0.0,,,,,,,,2010
Devon,,Cold Lake,8611A,Primary,59.87,65.95,79.77,75.0,83.58,64.72,66.37,63.68,61.74,39.0,44.74,36.44,2010
Husky,,Cold Lake,8655B,Primary,19.52,21.83,19.86,19.09,19.23,17.98,11.3,7.42,11.46,14.66,13.62,11.72,2010
Husky,,Athabasca,8756D,Primary,87.98,91.11,172.95,262.29,264.67,247.36,238.7,242.65,244.53,314.72,363.7,454.21,2010
CNRL,,Cold Lake,8908H,Primary,596.94,625.0,645.44,644.54,726.15,685.09,753.68,734.28,742.32,733.16,501.71,853.02,2010
Buffalo Resources Corp.,,Cold Lake,8932C,Primary,15.11,12.01,16.74,16.53,19.37,18.51,14.97,12.08,16.79,19.92,14.3,17.13,2010
Shell,,Peace River,8972E,Primary,333.81,304.1,311.56,313.56,303.52,293.22,292.76,280.75,238.84,114.35,183.93,215.55,2010
CNRL,,Athabasca,8993D,Primary,37.22,40.43,38.94,116.11,146.78,208.7,206.52,192.15,137.76,202.77,176.91,198.62,2010
CNRL,,Cold Lake,9006B,Primary,54.08,45.18,51.98,51.26,51.22,55.42,54.45,56.77,38.9,62.76,62.04,72.65,2010
Devon,,Cold Lake,9148,Primary,19.65,11.92,21.31,24.08,18.69,16.68,23.5,17.65,10.56,17.23,19.66,11.91,2010
Imperial,,Cold Lake,9158B,Primary,61.21,60.58,57.87,59.49,55.96,58.49,56.25,60.99,59.65,57.56,46.54,41.0,2010
Harvest Operations Corp.,,Cold Lake,9266B,Primary,51.27,55.08,54.1,52.22,55.95,51.18,50.49,48.75,48.06,53.05,53.98,49.14,2010
Baytex,,Cold Lake,9278G,Primary,148.76,148.51,144.81,141.27,128.43,139.2,133.03,123.9,115.52,98.74,109.9,108.6,2010
Crispin Energy Inc.,,Cold Lake,9313,Primary,10.11,8.56,9.17,5.26,8.71,8.02,5.95,8.71,7.85,8.25,8.11,11.88,2010
CNRL,,Cold Lake,9340,Primary,133.0,148.68,149.68,148.52,152.68,156.61,160.24,171.81,150.04,132.37,132.55,124.08,2010
CNRL,,Cold Lake,9349C,Primary,308.94,335.43,338.67,320.61,323.13,272.11,280.3,269.69,268.82,248.18,244.98,235.83,2010
CNRL,,Cold Lake,9387J,Primary,456.05,415.09,468.29,432.19,392.1,370.06,348.13,365.62,386.79,335.44,349.74,359.85,2010
CNRL,,Cold Lake,9415M,Primary,1347.54,1319.47,1435.22,1490.77,1553.53,1478.63,1446.53,1441.94,1355.31,1273.77,1262.28,1266.94,2010
Bonavista,,Cold Lake,9427A,Primary,86.42,76.95,62.8,65.03,60.12,62.65,48.06,60.65,53.83,64.56,65.14,55.29,2010
CNRL,,Athabasca,9466J,Primary,886.21,862.33,874.98,823.06,823.88,812.9,820.04,788.31,789.61,761.38,771.73,737.7,2010
CNRL,,Cold Lake,9473B,Primary,89.75,91.0,97.97,91.3,94.66,92.9,83.91,85.33,51.43,39.31,28.52,26.67,2010
Husky,,Cold Lake,9504A,Primary,1.69,2.79,3.89,2.36,3.5,2.51,2.41,3.52,0.0,0.02,0.0,1.2,2010
Baytex,,Cold Lake,9579A,Primary,31.53,37.48,34.41,30.58,34.27,35.29,31.55,34.99,32.05,30.06,26.81,30.43,2010
Penn West,,Peace River,9607C,Primary,145.3,136.39,139.3,149.56,157.46,148.78,132.15,116.31,116.94,123.85,121.6,118.83,2010
Imperial,,Cold Lake,9631,Primary,64.64,70.21,68.97,64.41,65.32,48.43,45.58,49.3,59.38,56.22,56.17,108.91,2010
Shell,,Peace River,9727C,Primary,457.17,452.66,426.65,398.85,405.15,401.0,406.58,410.25,337.9,190.29,304.99,364.31,2010
Bronco Energy Ltd.,,Athabasca,9774E,Primary,28.65,28.58,27.94,22.84,91.39,80.23,77.59,83.21,64.28,74.45,69.66,63.98,2010
Devon,,Cold Lake,9821,Primary,4.0,3.41,3.42,0.0,1.87,0.0,1.74,1.04,4.18,4.09,1.94,2.76,2010
Frog Lake Energy Resources Corp.,,Cold Lake,9827B,Primary,11.42,5.22,5.11,8.76,12.08,16.21,13.78,11.12,17.36,18.75,19.41,22.18,2010
Husky,,Cold Lake,9873,Primary,12.32,12.8,12.66,11.27,12.93,11.56,11.63,11.27,10.62,10.79,11.5,10.5,2010
CNRL,,Athabasca,9884D,Primary,65.64,68.55,69.79,64.72,68.09,64.18,63.37,66.1,64.25,62.55,59.87,55.29,2010
Koch,,Cold Lake,9908D,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
CNRL,,Cold Lake,4746Q,Commercial,701.33,707.21,669.64,678.75,673.09,694.38,738.77,684.36,646.59,697.21,653.54,709.61,2011
Pengrowth,Lindbergh Pilot,Cold Lake,6410H,Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
Baytex,Cliffdale Pilot,Peace River,11034G,Commercial-CSS,4.62,1.99,6.96,40.24,35.46,24.08,23.53,21.92,20.7,16.22,16.66,9.03,2011
North Peace Energy Corp.,Red Earth,Peace River,11209A,Commercial-CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,5.64,9.12,4.43,0.0,2011
Penn West,Seal,Peace River,11377A,Commercial-CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.73,106.82,62.63,50.66,8.15,2011
Baytex,Harmon Valley Pilot,Peace River,11551,Commercial-CSS,4.44,3.65,5.24,0.09,6.35,5.46,7.68,7.97,3.52,2.62,2.46,0.89,2011
Shell,Peace River,Peace River,8143L,Commercial-CSS,793.47,806.21,807.92,823.4,482.32,460.17,703.16,509.6,894.95,797.7,772.23,1249.45,2011
Imperial,Cold Lake,Cold Lake,8558V,Commercial-CSS,24401.18,24727.83,25739.78,25625.04,25333.41,24367.83,25347.29,26367.02,25677.84,25610.0,26106.26,25416.11,2011
CNRL,Primrose and Wolf Lake,"Athabasca, Cold Lake",9140M,Commercial-CSS,18478.48,14906.18,12199.17,13283.41,16926.58,19802.33,19221.41,17363.98,14936.36,12696.26,11364.42,12448.55,2011
Devon,Jackfish ,Athabasca,10097I,Commercial-SAGD,4873.75,4891.86,5049.82,5025.44,5470.77,5232.2,5444.59,5072.86,5124.26,5202.96,7141.94,7336.25,2011
Shell,Orion,Cold Lake,10103E,Commercial-SAGD,632.47,659.85,696.15,715.8,277.39,739.8,708.48,509.08,726.46,623.34,733.35,679.23,2011
Connacher Oil And Gas Limited,Great Divide,Athabasca,10587F,Commercial-SAGD,922.32,1164.93,1106.55,1160.65,1153.1,1117.67,1080.2,1026.78,876.15,1024.96,956.49,968.98,2011
MEG,Christina Lake,Athabasca,10773J,Commercial-SAGD,4574.83,4283.55,4314.21,4384.5,4411.69,4332.59,4209.18,4201.77,1199.64,4722.56,4911.02,4767.47,2011
Statoil Canada Ltd.,Leismer,Athabasca,10935E,Commercial-SAGD,356.71,622.47,913.95,1105.26,1420.11,1585.37,1995.79,2069.2,2253.16,2220.96,2335.76,2298.28,2011
Connacher Oil And Gas Limited,Algar,Athabasca,11253D,Commercial-SAGD,959.12,1067.68,1085.01,1090.89,857.39,1151.71,1122.5,1155.72,1148.35,1078.26,1137.49,1113.79,2011
Cenovus,Pelican Lake,Athabasca,11469A,Commercial-SAGD,0.0,0.0,0.0,0.0,1.74,0.0,13.06,24.85,0.0,25.58,35.22,27.9,2011
BlackPearl,Blackrod,Athabasca,11522B,Commercial-SAGD,0.0,0.0,0.0,0.0,0.0,0.0,2.46,8.59,12.29,26.67,27.36,30.61,2011
Cenovus,Christina Lake,Athabasca,8591T,Commercial-SAGD,2752.21,2762.04,2729.27,1946.21,2618.79,2520.66,2421.59,2977.13,3943.09,4446.15,6356.05,7269.76,2011
